,classification
382,1
994,1
982,1
47,1
521,0
636,1
19,1
366,1
340,1
952,0
675,1
306,1
835,0
429,0
823,1
304,0
355,0
177,1
945,1
60,1
309,1
892,1
301,0
920,1
594,0
761,0
107,1
747,0
988,1
806,1
99,1
250,1
833,1
474,0
703,1
941,1
383,1
680,1
181,0
12,1
613,1
85,1
320,0
649,0
710,1
385,1
890,1
439,0
135,1
567,1
298,1
160,1
268,0
658,1
996,1
641,1
906,1
805,0
893,1
389,1
121,1
837,1
187,1
16,1
773,1
493,1
341,1
426,1
467,1
106,0
408,1
23,1
831,0
69,1
900,0
676,1
801,1
599,1
643,1
339,1
701,0
873,1
74,0
218,1
525,1
265,0
891,1
110,1
435,0
980,0
632,1
185,1
286,1
582,1
899,0
459,1
415,1
61,1
347,1
349,0
731,0
716,1
640,0
804,1
737,1
329,1
927,0
134,1
787,1
764,1
784,1
57,1
825,1
928,1
859,1
786,1
291,0
46,1
277,1
841,1
926,1
224,1
530,1
280,1
0,1
817,1
495,0
66,1
403,1
563,0
481,1
571,1
882,1
294,1
619,1
743,1
245,1
257,0
161,1
726,1
605,1
953,0
436,1
855,1
768,1
247,1
541,1
239,1
220,1
957,1
92,0
114,1
798,1
979,0
76,0
981,0
386,1
132,1
863,1
990,1
58,1
289,0
246,1
364,0
871,1
40,1
89,0
192,0
422,1
68,0
661,0
372,1
139,1
388,1
832,0
118,0
579,1
922,0
791,1
350,1
811,1
434,1
669,1
931,0
948,0
14,1
375,0
82,1
491,0
697,1
879,1
936,0
88,1
363,1
273,0
172,0
554,1
103,1
754,0
673,1
371,1
45,1
560,1
748,1
419,0
604,1
725,1
11,0
214,1
344,1
700,0
720,0
147,1
299,1
283,1
745,1
412,0
629,1
795,1
741,1
886,1
735,1
173,1
432,1
985,1
226,0
305,1
31,1
719,1
483,1
766,0
285,1
918,0
482,1
913,1
977,1
116,0
618,0
652,0
704,1
95,0
261,1
635,1
592,1
574,1
954,1
102,1
62,0
204,1
663,1
686,1
184,0
678,1
733,1
91,1
942,1
708,1
736,0
836,1
730,1
411,1
346,1
480,1
814,0
29,0
54,0
487,1
39,1
157,1
894,1
146,1
221,1
684,1
772,1
602,0
800,1
394,1
52,1
622,0
674,0
359,0
504,0
402,0
770,1
421,1
448,1
165,1
284,1
80,0
227,0
447,1
353,0
310,1
727,0
259,1
323,1
9,0
679,1
529,1
30,1
789,0
179,1
27,1
33,1
334,0
361,1
293,1
782,1
959,1
5,1
197,0
790,0
392,1
543,0
788,0
631,0
865,1
510,0
122,1
378,0
38,1
546,1
523,1
162,1
67,1
124,0
4,0
834,0
759,0
427,1
966,0
553,1
506,1
975,1
399,1
802,1
352,1
839,1
848,1
260,1
333,0
153,1
396,1
501,1
373,1
312,1
42,1
758,1
522,0
650,1
846,0
623,1
682,1
634,0
750,1
755,0
780,0
590,1
445,1
272,1
877,1
519,1
377,1
498,1
878,0
930,1
947,1
97,1
128,1
544,1
379,1
203,0
343,1
888,1
808,1
518,1
779,1
488,1
237,0
549,1
400,1
570,0
232,1
442,1
98,1
875,1
978,0
511,1
612,1
217,1
360,1
558,0
919,0
958,0
225,1
18,0
168,1
292,1
607,0
397,1
540,0
328,1
862,0
667,1
93,1
213,0
337,0
425,1
803,1
115,1
158,1
989,1
112,1
36,1
105,0
362,1
365,1
441,1
565,1
351,0
973,0
249,0
852,1
796,0
406,1
853,0
164,1
876,1
861,0
828,0
83,1
698,1
295,0
70,1
610,0
664,1
923,1
963,0
902,1
724,0
127,0
840,0
1,0
897,1
539,1
601,0
308,0
585,0
410,1
171,1
417,1
763,0
935,0
603,0
460,1
866,1
637,1
423,1
315,0
376,1
524,1
867,1
438,1
739,0
150,1
999,1
556,0
819,0
807,1
409,0
143,0
526,1
858,0
986,1
827,0
208,1
440,1
131,0
380,1
174,0
533,1
270,1
407,1
869,1
123,1
138,1
51,1
624,0
275,1
965,1
342,1
256,1
182,0
617,1
300,1
690,1
765,1
240,0
230,0
915,0
326,1
458,1
681,1
662,1
762,1
465,1
163,1
167,1
145,1
206,1
500,0
188,0
324,1
657,1
740,1
830,1
850,0
991,1
895,1
575,1
79,1
809,0
687,1
939,1
844,1
229,1
723,1
912,1
100,1
290,1
444,0
946,0
53,1
391,1
962,1
998,0
666,1
251,1
499,1
475,0
670,1
271,1
44,0
113,0
24,1
211,1
620,1
169,0
591,1
969,1
596,0
520,1
32,1
611,0
109,1
136,1
330,1
222,1
28,1
287,1
722,0
55,1
987,1
881,1
901,1
48,1
904,1
976,1
642,0
545,0
477,1
547,1
63,0
413,1
384,1
889,1
322,1
451,1
781,1
234,1
656,0
557,0
462,1
424,0
880,1
303,1
884,0
689,1
219,1
870,1
296,1
21,1
760,1
420,1
325,1
199,0
450,1
137,0
536,1
696,1
717,1
646,1
628,1
212,0
961,1
934,1
921,1
505,0
815,1
231,1
405,0
729,1
568,1
317,1
183,1
856,1
854,1
693,1
609,1
626,1
485,0
278,0
630,1
20,1
170,0
401,1
924,0
566,0
176,1
327,1
706,0
198,1
470,0
842,0
694,1
266,1
615,1
732,1
492,1
130,1
338,1
851,1
489,1
572,1
606,1
193,1
140,1
416,0
660,1
476,1
714,0
152,1
849,0
898,1
10,0
269,1
96,1
210,1
984,1
752,1
569,0
813,0
775,0
548,0
943,1
532,1
933,1
332,0
75,1
712,1
77,1
263,1
993,1
149,1
932,1
514,1
940,1
469,1
564,1
774,1
461,1
253,1
771,0
845,1
369,1
321,0
695,1
151,1
949,0
302,0
190,0
586,1
348,1
243,1
793,1
87,0
751,0
655,1
909,1
778,1
418,1
288,1
648,0
166,0
595,0
937,1
155,0
356,1
381,0
279,1
126,1
707,0
777,1
22,1
616,1
665,1
282,1
903,1
471,0
738,1
367,1
25,1
196,1
64,1
15,0
466,0
297,1
883,1
621,0
336,1
820,1
26,1
588,0
43,1
497,1
792,1
515,1
955,1
561,0
917,0
454,0
387,1
71,1
542,0
456,1
633,0
431,0
627,0
653,0
728,0
264,1
209,1
316,1
896,1
513,1
313,0
534,1
829,1
319,1
7,1
393,1
141,1
86,1
864,0
478,1
503,0
753,1
215,1
580,0
562,1
398,0
925,0
668,0
490,1
252,0
907,1
468,1
914,0
357,0
254,1
276,1
178,1
281,1
390,1
508,1
749,1
583,0
972,0
129,0
144,1
960,1
847,1
645,0
715,1
905,1
767,1
72,1
908,1
235,0
37,0
