,classification
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,0
584,1
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,1
609,1
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,1
723,1
724,0
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,1
765,0
766,1
767,1
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,0
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,0
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
