id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
0, poor,6, critical account/ other credits existing (not at this bank), radio/television,1169, unknown/ no savings account, more than 7 years,4," male, single", none,4, real estate,67, none, own,2, skilled employee / official,1, yes, yes,1
1, little,48, existing credits paid back duly till now, radio/television,5951, little, 1 to 4 years,2," female, divorced/separated/married", none,2, real estate,22, none, own,1, skilled employee / official,1, none, yes,2
2, no checking account,12, critical account/ other credits existing (not at this bank), education,2096, little, 4 to 7 years,2," male, single", none,3, real estate,49, none, own,1, unskilled - resident,2, none, yes,1
3, poor,42, existing credits paid back duly till now, furniture/equipment,7882, little, 4 to 7 years,2," male, single", guarantor,4, building society savings agreement/ life insurance,45, none, for free,1, skilled employee / official,2, none, yes,1
4, poor,24, delay in paying off in the past, car (new),4870, little, 1 to 4 years,3," male, single", none,4, unknown / no property,53, none, for free,2, skilled employee / official,2, none, yes,2
5, no checking account,36, existing credits paid back duly till now, education,9055, unknown/ no savings account, 1 to 4 years,2," male, single", none,4, unknown / no property,35, none, for free,1, unskilled - resident,2, yes, yes,1
6, no checking account,24, existing credits paid back duly till now, furniture/equipment,2835, quite rich, more than 7 years,3," male, single", none,4, building society savings agreement/ life insurance,53, none, own,1, skilled employee / official,1, none, yes,1
7, little,36, existing credits paid back duly till now, car (used),6948, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",35, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
8, no checking account,12, existing credits paid back duly till now, radio/television,3059, rich, 4 to 7 years,2," male, divorced/separated", none,4, real estate,61, none, own,1, unskilled - resident,1, none, yes,1
9, little,30, critical account/ other credits existing (not at this bank), car (new),5234, little, unemployed,4," male, married/widowed", none,2," car or other, not in attribute 6",28, none, own,2, management/ self-employed/highly qualified employee/ officer,1, none, yes,2
10, little,12, existing credits paid back duly till now, car (new),1295, little, less than 1 year,3," female, divorced/separated/married", none,1," car or other, not in attribute 6",25, none, rent,1, skilled employee / official,1, none, yes,2
11, poor,48, existing credits paid back duly till now, business,4308, little, less than 1 year,3," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,24, none, rent,1, skilled employee / official,1, none, yes,2
12, little,12, existing credits paid back duly till now, radio/television,1567, little, 1 to 4 years,1," female, divorced/separated/married", none,1," car or other, not in attribute 6",22, none, own,1, skilled employee / official,1, yes, yes,1
13, poor,24, critical account/ other credits existing (not at this bank), car (new),1199, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",60, none, own,2, unskilled - resident,1, none, yes,2
14, poor,15, existing credits paid back duly till now, car (new),1403, little, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",28, none, rent,1, skilled employee / official,1, none, yes,1
15, poor,24, existing credits paid back duly till now, radio/television,1282, moderate, 1 to 4 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",32, none, own,1, unskilled - resident,1, none, yes,2
16, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2424, unknown/ no savings account, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,53, none, own,2, skilled employee / official,1, none, yes,1
17, poor,30, no credits taken/ all credits paid back duly, business,8072, unknown/ no savings account, less than 1 year,2," male, single", none,3," car or other, not in attribute 6",25," bank,", own,3, skilled employee / official,1, none, yes,1
18, little,24, existing credits paid back duly till now, car (used),12579, little, more than 7 years,4," female, divorced/separated/married", none,2, unknown / no property,44, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
19, no checking account,24, existing credits paid back duly till now, radio/television,3430, quite rich, more than 7 years,3," male, single", none,2," car or other, not in attribute 6",31, none, own,1, skilled employee / official,2, yes, yes,1
20, no checking account,9, critical account/ other credits existing (not at this bank), car (new),2134, little, 1 to 4 years,4," male, single", none,4," car or other, not in attribute 6",48, none, own,3, skilled employee / official,1, yes, yes,1
21, poor,6, existing credits paid back duly till now, radio/television,2647, quite rich, 1 to 4 years,2," male, single", none,3, real estate,44, none, rent,1, skilled employee / official,2, none, yes,1
